year,hcpc,modifier,sdesc,proc_stat,nused_for_med,rvu_work,trans_nfac_pe,trans_nfac_pe_naflag,full_nfac_pe,full_nfac_pe_naflag,trans_fac_pe,trans_fac_pe_naflag,full_fac_pe,full_fac_pe_naflag,rvu_mp,trans_nfac_total,full_nfac_total,trans_fac_total,full_fac_total,pctc,global,pre_op,intra_op,post_op,mult_surg,bilt_surg,asst_surg,co_surg,team_surg,endobase,conv_fact,phy_superv,chemo_flag,family_ind,opps_nfac_pe,opps_fac_pe,opps_mp,work_adjustor,update_val,nfac_pe,nfac_pe_naflag,fac_pe,fac_pe_naflag,nfac_total,fac_total
2023.0,A0888,  ,Noncovered ambulance mileage,N,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A0998,  ,Ambulance response/treatment,I,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A0999,  ,Unlisted ambulance service,X,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2001,  ,"Innovamatrix ac, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2002,  ,Mirragen adv wnd mat per sq,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2004,  ,"Xcellistem, 1 mg",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2005,  ,"Microlyte matrix, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2006,  ,Novosorb synpath per sq cm,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2007,  ,"Restrata, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2008,  ,"Theragenesis, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
